,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 56.28, Arapahoe County, Colorado","5,339",08005005628,0.915339951301742,0.011987263532496722,0.005244427795467316,0.03277767372167072,0.0009365049634763064,0.033714178685147034
"Census Tract 56.29, Arapahoe County, Colorado","2,167",08005005629,0.9497000461467466,0.005999077065066913,0.0,0.03461005999077065,0.00046146746654360867,0.009229349330872173
"Census Tract 56.30, Arapahoe County, Colorado","4,828",08005005630,0.9330985915492958,0.015534382767191384,0.004556752278376139,0.02568351284175642,0.00020712510356255177,0.02091963545981773
"Census Tract 56.31, Arapahoe County, Colorado","2,913",08005005631,0.9313422588396841,0.012015104703055269,0.0034328870580157913,0.030209406110538965,0.0010298661174047373,0.021970477171301066
"Census Tract 56.32, Arapahoe County, Colorado","2,994",08005005632,0.9091516366065464,0.022712090848363394,0.00501002004008016,0.03740814963259853,0.0,0.02571810287241149
"Census Tract 56.33, Arapahoe County, Colorado","2,879",08005005633,0.9336575199722126,0.009030913511635985,0.0038207711010767626,0.03334491142757902,0.0003473428273706148,0.019798541160125045
"Census Tract 56.34, Arapahoe County, Colorado","2,886",08005005634,0.9507969507969508,0.007623007623007623,0.0038115038115038116,0.01975051975051975,0.0,0.018018018018018018
"Census Tract 56.35, Arapahoe County, Colorado","4,471",08005005635,0.9525833146946991,0.010288526056810557,0.00156564526951465,0.01766942518452248,0.00156564526951465,0.016327443524938492
"Census Tract 56.36, Arapahoe County, Colorado","1,748",08005005636,0.9405034324942791,0.008581235697940504,0.0011441647597254005,0.03775743707093822,0.0,0.012013729977116704
"Census Tract 57.01, Arapahoe County, Colorado","1,519",08005005701,0.8202764976958525,0.03225806451612903,0.025674786043449638,0.02106649111257406,0.0,0.10072416063199473
"Census Tract 57.02, Arapahoe County, Colorado","2,300",08005005702,0.7547826086956522,0.04739130434782609,0.02,0.028695652173913042,0.0008695652173913044,0.1482608695652174
"Census Tract 58, Arapahoe County, Colorado","2,352",08005005800,0.9340986394557823,0.01445578231292517,0.00510204081632653,0.01403061224489796,0.0017006802721088435,0.030612244897959183
"Census Tract 59.51, Arapahoe County, Colorado","3,894",08005005951,0.8757062146892656,0.03492552645095018,0.016178736517719568,0.019517205957883924,0.005136106831022085,0.0485362095531587
